,R_x,f_1,f_2,Generation,Rank
0,4-1-2-5-14-6*0-1-4-3-5-7-9-10*8-14-6-9-13-12-10-11*0-1-2-5-7-9-10-12*8-14-5-3-11-10-9-6*0-1-3-5-7-14-6*,10.22501611863314,196.0,197,0.0
1,4-1-2-5-14-6*0-1-4-3-5-7-9-10*8-14-6-9-13-12-10-11*0-1-2-5-7-9-10-12-13*8-14-7-5-3-11-10-9*0-1-3-5-7-14-6*,10.242424242424242,192.0,164,0.0
2,4-1-2-5-14-6*0-1-4-3-5-7-9*8-14-6-9-13-12-10-11*0-1-2-5-7-9-10-12*8-14-5-3-11-10-9-6*0-1-3-5-7-14-6*,10.243068987749838,191.0,174,0.0
3,6-14-7-5-3-11-10-12*0-1-2-5-7-9-10-12*0-1-3-5-14-8*4-3-5-7-9-13-12-10*8-14-6-9-10-11-3-4*4-1-2-5-14-6*,10.245003223726629,189.0,164,0.0
2,4-1-2-5-14-6*0-1-3-5-7-14-6*4-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*2-1-3-5-14-8*4-3-5-7-9-13-12-10-11*,10.245647969052223,181.0,152,0.0
3,4-1-2-5-14-6*0-1-3-5-7-14-6*4-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*2-1-3-5-14-8*4-3-5-7-9-13-12-10-11*,10.246937459703418,179.0,134,0.0
0,0-1-2-5-14-6*4-3-5-7-9-13-12-10-11*0-1-3-11-10-9-6-14-8*7-14-6*8-14-7-5-2-1-4*0-1-2-5-7-9-10-12-13*,10.248871695680206,176.0,192,0.0
1,4-3-5-7-9-13-12-10-11*5-7*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12-13*0-1-3-11-10-9-6-14-8*0-1-2-5-14-6*,10.25338491295938,173.0,181,0.0
2,4-3-5-7-9-13-12-10-11*5-7*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-3-11-10-9-6-14-8*0-1-2-5-14-6*,10.254674403610574,171.0,179,0.0
7,6-14-5-2-1-4*0-1-3-5-14-8*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*8-14-6-9-10-11*6-14-7-5-3-11-10-12*,10.274661508704062,170.0,168,0.0
6,4-3-5-7-14-6-9-13-12*11-3-1-0*2-1-4-3-5-7-9-10*0-1-2-5-7-9-10-12-13*0-1-2-5-14-6*8-14-6-9-10-11*,10.284332688588009,168.0,148,0.0
5,4-1-2-5-14-6*0-1-3-5-7-14-6*4-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*2-1-3-5-14-8*4-3-5-7-9-13-12*,10.290780141843973,166.0,136,0.0
1,0-1-2-5-14-6*3-5-7-14-6*8-14-6-9-10-11*0-1-3-11-10-12*2-1-4-3-5-7-9-10*0-1-2-5-7-9-13-12*,10.297872340425531,160.0,196,0.0
3,4-3-5-7-9-13-12*5-7*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12-13*0-1-3-11-10-9-6-14-8*0-1-2-5-14-6*,10.298517085751127,158.0,188,0.0
9,4-1-2-5-14-6*0-1-3-5-7-14-6*3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*3-5-14-8*4-3-5-7-9-13-12*,10.329464861379757,157.0,136,0.0
10,7-14-6*4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-1-2-5-14-6*0-1-3-11-10-9-6-14-8*0-1-3-5-14-6*,10.337201805286911,154.0,191,0.0
11,4-3-5-7-9-13-12*0-1-3-5-14-6*4-1-2-5-14-6*0-1-2-5-7-9-10-12-13*7-14-6*5-3-11-10-9-6-14-8*,10.341715022566088,149.0,114,0.0
12,4-3-5-7-9-13-12*0-1-3-5-14-6*4-1-2-5-14-6*0-1-2-5-7-9-10-12*7-14-6*5-3-11-10-9-6-14-8*,10.352675693101226,147.0,95,0.0
13,7-14-6*4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-1-2-5-14-6*1-3-11-10-9-6-14-8*0-1-3-5-14-6*,10.353320438426822,146.0,163,0.0
12,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12-13*7-14-6*3-11-10-9-6-14-8*0-1-3-5-14-6*4-1-2-5-14-6*,10.35525467440361,145.0,186,0.0
13,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*7-14-6*3-11-10-9-6-14-8*0-1-3-5-14-6*4-1-2-5-14-6*,10.36621534493875,143.0,174,0.0
17,4-1-2-5-14-6*12-13*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*0-1-3-5-7-14-6*3-11-10-9-6-14-8*,10.388136686009029,142.0,124,0.0
18,4-1-2-5-14-6*12-13*0-1-2-5-7-9-10-12*4-3-5-7-9-13*0-1-3-5-7-14-6*3-11-10-9-6-14-8*,10.397807865892972,140.0,128,0.0
8,4-3-5-7-9-13-12*5-7*7-14-6*4-1-2-5-14-6*0-1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*,10.408768536428113,138.0,160,0.0
19,4-1-2-5-14-6*0-1-2-5-7-9-10-12-13*4-3-5-7-9-13*7-14-6*0-1-3-11-10-9-6-14-8*12-13*,10.418439716312056,136.0,192,0.0
20,4-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13*7-14-6*0-1-3-11-10-9-6-14-8*12-13*,10.429400386847195,134.0,187,0.0
21,4-1-2-5-14-6*0-1-2-5-7-9-10-12-13*4-3-5-7-9-13-12*7-14-6*2-1-3-11-10-9-6-14-8*12-13*,10.450676982591876,132.0,153,0.0
22,4-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*7-14-6*2-1-3-11-10-9-6-14-8*12-13*,10.461637653127015,130.0,128,0.0
23,4-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*7-14-6*1-3-11-10-9-6-14-8*12-13*,10.474532559638943,128.0,111,0.0
24,4-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13*7-14-6*1-3-11-10-9-6-14-8*12-13*,10.484203739522888,126.0,156,0.0
25,4-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13*7-14*1-3-11-10-9-6-14-8*12-13*,10.516441005802708,124.0,142,0.0
22,1-3-11*0-1-2-5-7-9-10-12*13-12*4-1-2-5-14-6*4-3-5-7-9-13*8-14-6-9-10-11*,10.571889103803995,122.0,147,0.0
24,6-14-5-2-1-3-4*4-3-5-7-9-10*10-12*8-14-6-9-10-11*3-11*0-1-2-5-7-9-13-12*,10.607994842037396,120.0,52,0.0
25,6-14-5-2-1-3-4*4-3-5-7-9-10-11*10-12*8-14-6-9*3-11*0-1-2-5-7-9-13-12*,10.653127014829142,115.0,103,0.0
28,3-11*4-3-1-2-5-14-6*14-7*0-1-2-5-7-9-10-11*4-3-5-7-9-10-12-13*9-6-14-8*,10.713733075435202,114.0,128,0.0
31,5-14-8*1-3-11*11-10-9*4-3-5-7-9-10-12-13*2-1-4*0-1-2-5-7-14-6-9-13-12*,10.754352030947777,113.0,195,0.0
26,6-14-5-2-1-3*11-10-9-7-5-3-4*10-12*8-14-6-9*3-11*0-1-2-5-7-9-13-12*,10.76079948420374,111.0,120,0.0
34,11-3-1*13-9*4-3-5-7-9-10-12-13*11-10-9-6-14-8*4-1-2*0-1-2-5-7-14-6*,10.770470664087686,110.0,146,0.0
33,0-1-2-5-7-14-6*8-14-6-9-10-11*3-11*13-9*2-1-3-4*4-3-5-7-9-10-12-13*,10.80722114764668,108.0,130,0.0
29,3-11*1-3*4-3-5-7-9-10-12-13*0-1-2-5-7-14-6-9*8-14-6-9-10-11*1-4*,10.857511283043198,107.0,48,0.0
34,0-1-2-5-7-14-6*8-14-6-9-10-11*3-11*13-9*1-3-4*4-3-5-7-9-10-12-13*,10.85880077369439,106.0,131,0.0
26,11-3-1*4-3-5-7-9-10-12-13*8-14-6-9-10-11*5-14*4-1-2*0-1-2-5-7-14-6*,10.869116698903932,105.0,166,0.0
32,8-14-6-9-10-11*0-1-2-5-7-14-6*4-1-2*7-14*4-3-5-7-9-10-12-13*11-3-1*,10.876208897485494,104.0,184,0.0
36,5-14-8*1-3-11*11-10-9*4-3-5-7-9-10-12-13*2-1-4*0-1-2-5-7-14-6-9*,10.893617021276595,103.0,171,0.0
32,3-11*13-12-10-9-7-5-3-4*2-1-4*1-3*8-14-6-9-10-11*0-1-2-5-7-14-6*,10.905222437137333,102.0,80,0.0
38,5-14-8*3-11*11-10-9*4-3-5-7-9-10-12-13*2-1-3-4*0-1-2-5-7-14-6-9*,10.93036750483559,101.0,105,0.0
33,3-11*1-3*4-3-5-7-9-10-12-13*0-1-2-5-7-14-6*8-14-6-9-10-11*1-4*,10.943907156673117,100.0,55,0.0
40,5-14-8*3-11*11-10-9*4-3-5-7-9-10-12-13*1-3-4*0-1-2-5-7-14-6-9*,10.9819471308833,99.0,122,0.0
41,14-8*3-11*11-10-9*4-3-5-7-9-10-12-13*2-1-3-4*0-1-2-5-7-14-6-9*,10.987105093488072,98.0,103,0.0
42,5-14-8*1-3-11*11-10-9*4-3-5-7-9-10-12-13*2-1*0-1-2-5-7-14-6-9*,11.032882011605416,97.0,174,0.0
43,14-8*3-11*11-10-9*4-3-5-7-9-10-12-13*1-3-4*0-1-2-5-7-14-6-9*,11.038684719535784,96.0,60,0.0
44,5-14-8*3-11*11-10-9*4-3-5-7-9-10-12-13*1-3*0-1-2-5-7-14-6-9*,11.061895551257251,95.0,127,0.0
48,0-1-2-5-7-14-6-9*3-1*11-10-9*4-3-5-7-9-10-12-13*8-14-7*11-3*,11.079303675048356,94.0,63,0.0
46,14-8*3-11*11-10-9*4-3-5-7-9-10-12-13*1-3*0-1-2-5-7-14-6-9*,11.118633139909736,92.0,49,0.0
45,4-3-5-7-9-10-12-13*0-1-2-5-7-14-6-9*3-1*9-10-11*5-14-8*1-4*,11.198581560283689,91.0,61,0.0
48,14-8*1-3*11-10-9*4-3-5-7-9-10-12-13*2-1-4*0-1-2-5-7-14-6-9*,11.212765957446807,90.0,196,0.0
52,1-3*11-3*0-1-2-5-7-14-6-9*11-10*8-14-7*4-3-5-7-9-10-12-13*,11.24435847840103,89.0,49,0.0
47,4-3-5-7-9-10-12-13*0-1-2-5-7-14-6-9*1-4*9-10-11*14-8*1-3*,11.251450676982593,88.0,60,0.0
51,14-8*3-11*11-10*4-3-5-7-9-10-12-13*1-3*0-1-2-5-7-14-6-9*,11.28368794326241,87.0,48,0.0
49,4-3-5-7-9-10-12-13*0-1-2-5-7-14-6-9*1-3*11-10-9*8-14-7*12-13*,11.31592520954223,86.0,83,0.0
50,0-1-2-5-7-14-6-9*5-14*1-3*4-3-5-7-9-10-12-13*14-8*11-10-9*,11.344938749194068,85.0,167,0.0
53,14-8*4-3-5-7-9-10-12-13*12-13*1-3*11-10-9*0-1-2-5-7-14-6-9*,11.352030947775628,84.0,41,0.0
45,14-7*14-8*4-3-5-7-9-10-12-13*11-10-9*0-1-2-5-14-6-9*1-3*,11.429400386847195,83.0,152,0.0
53,1-3*5-14-8*4-3-5-7-9-10-12-13*11-10*0-1-2-5-7-14-6-9*5-7*,11.480980012894909,82.0,45,0.0
52,1-3*11-10*7-5*8-14-7*13-12-10-9-7-5-3-4*0-1-2-5-7-14-6-9*,11.495809155383624,81.0,87,0.0
55,0-1-2-5-7-14-6-9*5-14*1-3*4-3-5-7-9-10-12-13*14-8*11-10*,11.527401676337847,80.0,113,0.0
56,14-8*4-3-5-7-9-10-12-13*12-13*1-3*11-10*0-1-2-5-7-14-6-9*,11.534493874919407,79.0,33,0.0
48,14-8*1-3*4-3-5-7-9-10-12-13*7-14*0-1-2-5-14-6-9*11-10*,11.61766602192134,78.0,64,0.0
58,14-8*4-3-5-7-9-10-12*12-13*1-3*11-10*0-1-2-5-7-14-6-9*,11.695680206318505,77.0,34,0.0
59,8-14*11-10*1-3*12-13*0-1-2-5-7-9-10-12*4-3-5-14-6-9*,11.803997421018698,76.0,90,0.0
60,12-13*11-10*4-3-5-7-9-10-12*7-14*0-1-2-5-14-6-9*8-14*,12.023855577047067,75.0,102,0.0
59,11-10*7-5*0-1-2-5-7-14-6*13-12-10-9-7-5-3-4*3-1*8-14-7*,12.206318504190843,74.0,95,0.0
62,11-10*0-1-2-5-7-9-10-12*4-3-5*12-13*8-14*5-14-6-9*,12.252740167633783,73.0,24,0.0
63,14-8*4-3-5-7-9-10-12-13*12-13*1-3*11-10*0-1-2-5-7-14-6*,12.338491295938104,72.0,46,0.0
64,14-8*4-3-5-7-9-10-12*12-13*1-3*11-10*0-1-2-5-7-14-6*,12.4996776273372,70.0,37,0.0
65,11-10*5-7*4-3-5-7-9-10-12*12-13*0-1-2-5-7-14-6*8-14*,12.74468085106383,69.0,28,0.0
57,14-8*0-1-2-5-7-14-6-9*1-3*9-10-12-13*11-10*5-3-4*,12.900709219858156,67.0,52,0.0
68,11-10*0-1-2-5-7-9-10-12*4-3-5*12-13*8-14*7-14-6*,13.121856866537716,65.0,35,0.0
69,12-13*8-14*10-11*4-3-5*9-10-12*0-1-2-5-7-14-6-9*,13.306898774983882,64.0,42,0.0
70,0-1-2-5-7-14-6-9*9-10-12*1-3-4*11-10*14-8*12-13*,13.493874919406837,63.0,46,0.0
