,R_x,f_1,f_2,Generation,Rank
0,62-49-26-8-52-20-43-50-2-0-23-69-38-36-41-25-4-7-46-40-12-27-67-65*33-43-20-13-50-0-69-48-39-18-54-36-41-51-8-26-49-42-62-30-24-63-21*68-1-49-11-9-17-44-14-2-50-13-22-45-41-12-4-7-40-46-53-47-6-63-30-26-16-55-10-28*11-15-49-42-62-24-63-6-35-57-34-45-36-54-5-65-67-18-39-48-29-23-50-17-10-16-26*46-40-7-4-25-57-51-64-52-20-17-60-44-14-61-43-13-50-33-58-35-34*5-65-54-66-69-48-39-32-37-67-27-41-35-6-63-24-62-42-15-30-26-16-55-20-10-52-64*61-60-17-50-2-0-69-29-3-66-19-38-36-45-34-51-56-28-8-26-49-15-30-21*62-21-6-47-40-46-7-53-4-12-25-34-51-8-26-1-31-11-59-10-55-52-64-58-45-22-38-36*42-24-30-26-1-11-68-9-59-10-28-8-56-6-47-53-4-12-41-34-35-64-58*44-60-61-17-20-33-22-38-18-65-32-5-37-67-27-41-58-51*8-52-55-16-9-11-31-1-59-17-20-33-22-38-54-5-37-65-19-3-23-50-2*69-18-54-32-39-48-29-3-66-38-36-45-34-35-6-21-24-30-62-26-8-52-64-58-41-12*37-65-5-67-27-41-34-51-56-8-26-1-11-59-10-17-43-50-13-22-33*68-59-11-31-1-49-42-62-21-24-30-26-8-51-35-34-45-36-54-18-39-48-3*18-38-36-22-19-54-5-65-37-67-27-25-34-41-12-4-40-7-47-6-56-28-8-55-17-61-44-14*,23.138726072984213,1530.0,195,0.0
1,62-49-26-8-52-20-43-50-2-0-23-69-38-36-41-25-4-7-46-40-12-27-67-65*33-43-20-13-50-0-69-48-39-18-54-36-41-51-8-26-49-42-62-30-24-63-21*68-1-49-11-9-17-44-14-2-50-13-22-45-41-12-4-7-40-46-53-47-6-63-30-26-16-55-10-28*11-15-49-42-62-24-63-6-35-57-34-45-36-54-5-65-67-18-39-48-29-23-50-17-10-16-26*46-40-7-4-25-57-51-64-52-20-17-60-44-14-61-43-13-50-33-58-35-34*5-65-54-66-69-48-39-32-37-67-27-41-35-6-63-24-62-42-15-30-26-16-55-20-10-52-64*61-60-17-50-2-0-69-29-3-66-19-38-36-45-34-51-56-28-8-26-49-15-30-21*62-21-6-47-40-46-7-53-4-12-25-34-51-8-26-1-31-11-59-10-55-52-64-58-45-22-38-36*42-24-30-26-1-11-68-9-59-10-28-8-56-6-47-53-4-12-41-34-35-64-58*44-60-61-17-20-33-22-38-18-65-32-5-37-67-27-41-58-51*8-52-55-16-9-11-31-1-59-17-20-33-22-38-54-5-37-65-19-3-23-50-2*69-18-54-32-39-48-29-3-66-38-36-45-34-35-6-21-24-30-62-26-8-52-64-58-41-12*37-65-5-67-27-41-34-51-56-8-26-1-11-59-10-17-43-50-13-22-33*68-59-11-31-1-49-42-62-21-24-30-26-8-51-35-34-45-36-54-18-39-48-3*18-38-36-22-19-54-5-65-37-67-27-25-34-41-12-4-40-7-47-6-56-28-8-55-17-61-44*,23.147178078778094,1525.0,199,0.0
0,55-8-28-56-51-58-33-50-0-69-38-36-41-25-4-7-40-46-53*44-60-17-9-68-1-26-62-42-24-21-6-35-41-36-54-18-32-39-48-3-23-0-50-13-33-43-61-14*3-29-69-23-50-43-17-59-1-26-30-63-24-62-42-15-11-31-9*59-11-15-49-9-68-1-16-26-8-51-41-27-67-37-5-54-19-38-22-13-43-61-60*34-41-12-25-57-35-51-8-28-10-55-20-13-50-2-14-44-61-17-59-1-26-30-24-21-63-6-47-53-46*9-31-1-49-42-15-62-24-63-6-35-58-45-36-19-66-69-18-32-37-65-5-67-27-41-57-34*36-45-41-27-67-5-54-19-22-33-20-17-9-11-31-1-49-15-62-24-30-26-8-28-10-59-68*37-67-27-25-57-58-34-51-64-52-8-26-49-9-17-60-14-2-50-13-22-45-41-12-4-7-46-40-47*65-37-32-39-18-54-36-45-58-64-52-10-16-1-11-9-49*66-29-3-38-54-19-69-0-2-14-44-60-61-17-20-52-64-35-57-25-4-40-53-46-7-47-6-56-8*29-69-48-66-38-36-45-58-64-52-10-16-1-49-62*12-27-67-37-5-65-18-54-36-19-66-3-69-23-50-43-20-55-16-26-49-1-31-9-68-11-15*5-32-54-66-18-19-29-23-50-2-14-44-61-17-10-8-56-6-47-53-4-12-25-41-45-36-22-33-43*46-40-7-47-6-56-8-26-1-11-68-9-59-17-20-33-22-38-54-32-37-65-67-18-66-3-29-69-23-50*36-41-34-25-12-27-67-5-65-19-22*,23.17516626258326,1510.0,197,0.0
1,55-8-28-56-51-58-33-50-0-69-38-36-41-25-4-7-40-46-53*44-60-17-9-68-1-26-62-42-24-21-6-35-41-36-54-18-32-39-48-3-23-0-50-33-13-43-61-14*3-29-69-23-50-43-17-59-1-26-30-63-24-62-42-15-11-31-9*59-11-15-49-9-68-1-16-26-8-51-41-27-67-37-5-54-19-38-22-13-43-61-60*34-41-12-25-57-35-51-8-28-10-55-20-13-50-2-14-44-61-17-59-1-26-30-24-21-63-6-47-53-46*68-9-31-1-49-42-15-62-24-63-6-35-58-45-36-19-66-69-18-32-37-65-5-67-27-41-57-34*36-45-41-27-67-5-54-19-22-33-20-17-9-11-31-1-49-15-62-24-30-26-8-28-10-59-68*37-67-27-25-57-58-34-51-64-52-8-26-49-9-17-60-14-2-50-13-22-45-41-12-4-7-46-40-47*65-37-32-39-18-54-36-45-58-64-52-10-16-1-11-9-49*66-29-3-38-54-19-69-0-2-14-44-60-61-17-20-52-64-35-57-25-4-40-53-46-7-47-6-56-8*29-69-48-66-38-36-45-58-64-52-10-16-1-49-62*12-27-67-37-5-65-18-54-36-19-66-3-69-23-50-43-20-55-16-26-49-1-31-9-68-11-15*5-32-54-66-18-19-29-23-50-2-14-44-61-17-10-8-56-6-47-53-4-12-25-41-45-36-22-33-43*46-40-7-47-6-56-8-26-1-11-68-9-59-17-20-33-22-38-54-32-37-65-67-18-66-3-29-69-23-50*36-45-34-25-12-27-67-5-65-19*,23.17581521880208,1504.0,200,0.0
0,5-37-65-18-38-22-33-20-55-16-26-49-42*41-12-25-57-35-51-56-28-10-8-55-20-13-50-2-14-44-17-59-1-26-30-24-21-6-47-53-40*22-19-66-29-3-0-69-23-50-43-61-44-60-17-20-52-64-58-34-25-4-7-40-46-53-47-6-35-51*54-32-65-37-67-27-25-12-41-45-36-38-66-3-69-23-50-43-17-9-68-11-31-1-26-30-63-24*39-48-29-69-23-50-43-20-55-10-16-26-62-42*67-18-69-0-2-50-43-20-10-28-56-6-47-53-4-12-41-36-38-3-48*49-1-16-9-59-10-55-52-64-51-35-34-41*21-62-15-49-26-8-51-41-27-67-5-37-65-32-39-18-19-66*4-25-57-34-41-12-27-67-37-5-54-19-22-13-43-61-60-44-17-20-55-10-28-56-51-35-58-33-50-23*31-9-59-11-1-16-55-52-64-58-45-36-54-18-32-39-48-29-23-2-0-3-69-38-22-33-20-13*17-50-0-69-3-66-19-36-45-34-35-6-63-24-21-30-62-15-11-9-68-59-10-20-43-13-22-33-58-64*16-1-68-9-31-11-49-15-42-62-24-21-63-6-35-34-45-36-38-66-48-39-18-54-19-69-29-3-23-0*13-43-33-22-38-19-36-41-12-4-53-46-40-47-6-56-28-8-26-1-9-68-11-49-42-30-24-63*51-34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41*55-20-52-8-28-10-17-61-14-2-50-13-22-45-41-12-4-40-46*,23.179854322308,1459.0,199,0.0
1,5-37-65-18-38-22-33-20-55-16-26-49-42*41-12-25-57-35-51-56-28-10-8-55-20-13-50-2-14-44-17-59-1-26-30-24-21-6-47-53-40*22-19-66-29-3-0-69-23-50-43-61-44-60-17-20-52-64-58-34-25-4-7-40-46-53-47-6-35-51*32-65-37-67-27-25-12-41-45-36-38-66-3-69-23-50-43-17-9-68-11-31-1-26-30-63-24*39-48-29-69-23-50-43-20-55-10-16-26-62-42*67-18-69-0-2-50-43-20-10-28-56-6-47-53-4-12-41-36-38-3-48*49-1-16-9-59-10-55-52-64-51-35-34-41*21-62-15-49-26-8-51-41-27-67-5-37-65-32-39-18-19-66*4-25-57-34-41-12-27-67-37-5-54-19-22-13-43-61-60-44-17-20-55-10-28-56-51-35-58-33-50-23*31-9-59-11-1-16-55-52-64-58-45-36-54-18-32-39-48-29-23-2-0-3-69-19-38-22-33-20-13*17-50-0-69-3-66-19-36-45-34-35-6-63-24-21-30-62-15-11-9-68-59-10-20-43-13-22-33-58-64*16-1-68-9-31-11-49-15-42-62-24-21-63-6-35-34-45-36-38-66-48-39-18-54-19-69-29-3-23-0*13-43-33-22-38-19-36-41-12-4-53-46-40-47-6-56-28-8-26-1-9-68-11-49-42-30-24-63*51-34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41*55-20-52-8-28-10-17-61-14-2-50-13-22-45-41-12-4-40-46*,23.18638541769418,1456.0,187,0.0
2,5-37-65-18-38-22-33-20-55-16-26-49-42*41-12-25-57-35-51-56-28-10-8-55-20-13-50-2-14-44-17-59-1-26-30-24-21-6-47-53-40*22-19-66-29-3-0-69-23-50-43-61-44-60-17-20-52-64-58-34-25-4-7-40-46-53-47-6-35-51*54-32-65-37-67-27-25-12-41-45-36-38-66-3-69-23-50-43-17-9-68-11-31-1-26-30-63-24*39-48-29-69-23-50-43-20-55-10-16-26-62-42*67-18-69-0-2-50-43-20-10-28-56-6-47-53-4-12-41-36-38-3-48*49-1-16-9-59-10-55-52-64-51-35-34-41*62-15-49-26-8-51-41-27-67-5-37-65-32-39-18-19-66*4-25-57-34-41-12-27-67-37-5-54-19-22-13-43-61-60-44-17-20-55-10-28-56-51-35-58-33-50-23*31-9-59-11-1-16-55-52-64-58-45-36-54-18-32-39-48-29-23-2-0-3-69-38-22-33-20-13*17-50-0-69-3-66-19-36-45-34-35-6-63-24-21-30-62-15-11-9-68-59-10-20-43-13-22-33-58-64*16-1-68-9-31-11-49-15-42-62-24-21-63-6-35-34-45-36-38-66-48-39-18-54-19-69-29-3-23-0*13-43-33-22-38-19-36-41-12-4-53-46-40-47-6-56-28-8-26-1-9-68-11-49-42-30-24-63*51-34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41*55-20-52-8-28-10-17-61-14-2-50-13-22-45-41-12-4-40-46*,23.18761583868506,1453.0,200,0.0
3,5-37-65-18-38-22-33-20-55-16-26-49-42*41-12-25-57-35-51-56-28-10-8-55-20-13-50-2-14-44-17-59-1-26-30-24-21-6-47-53-40*22-19-66-29-3-0-69-23-50-43-61-44-60-17-20-52-64-58-34-25-4-7-40-46-53-47-6-35-51*32-65-37-67-27-25-12-41-45-36-38-66-3-69-23-50-43-17-9-68-11-31-1-26-30-63-24*39-48-29-69-23-50-43-20-55-10-16-26-62-42*67-18-69-0-2-50-43-20-10-28-56-6-47-53-4-12-41-36-38-3-48*49-1-16-9-59-10-55-52-64-51-35-34-41*21-62-15-49-26-8-51-41-27-67-5-37-65-32-39-18-19-66*4-25-57-34-41-12-27-67-37-5-54-19-22-13-43-61-60-44-17-20-55-10-28-56-51-35-58-33-50-23*9-59-11-1-16-55-52-64-58-45-36-54-18-32-39-48-29-23-2-0-3-69-19-38-22-33-20-13*17-50-0-69-3-66-19-36-45-34-35-6-63-24-21-30-62-15-11-9-68-59-10-20-43-13-22-33-58-64*16-1-68-9-31-11-49-15-42-62-24-21-63-6-35-34-45-36-38-66-48-39-18-54-19-69-29-3-23-0*13-43-33-22-38-19-36-41-12-4-53-46-40-47-6-56-28-8-26-1-9-68-11-49-42-30-24-63*51-34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41*55-20-52-8-28-10-17-61-14-2-50-13-22-45-41-12-4-40-46*,23.18964577373752,1451.0,199,0.0
4,5-37-65-18-38-22-33-20-55-16-26-49-42-24*41-12-25-57-35-51-56-28-10-8-55-20-13-50-2-14-44-17-59-1-26-30-24-21-6-47-53*22-19-66-29-3-0-23-50-43-61-14-44-60-17-20-52-64-58-34-25-4-7-40-46-53-47-6-35-51*32-39-65-37-67-27-25-12-41-45-36-38-66-3-23-50-43-17-9-68-11-31-1-26-30-63-24*39-48-29-69-23-50-43-20-55-10-16-26-62-42*67-5-18-69-0-2-50-43-20-10-28-56-6-47-53-4-12-41*1-16-9-68-59-10-55-52-64-51-35-34-41-27-67-5-37-32-18-19-66*48-3-69-38-36-41-51-8-26-49-15*4-25-57-34-41-12-27-67-37-5-54-19-22-13-43-61-60-44-17-20-55-10-28-56-51-35-58-33-50-23*31-9-59-11-1-16-55-52-64-58-45-36-54-18-32-39-48-29-23-2-0-3-69-19-38-22-33-20-13-43*17-50-0-69-3-66-19-36-45-34-35-6-63-24-21-30-62-15-11-9-68-59-10-20-43-13-22-33-58*1-9-31-11-49-15-42-62-24-21-63-6-35-34-45-36-38-66-48-39-18-54-19-69-29-3-23-0*13-43-33-22-38-19-36-41-12-4-53-46-40-47-6-56-28-8-26-1-9-68-11-49-42-30-24*51-34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41*55-20-52-8-28-10-17-61-14-2-50-13-22-45-41-12-4-40-46*,23.2067263014168,1443.0,199,0.0
5,5-37-65-18-38-22-33-20-55-16-26-49-42-24*41-12-25-57-35-51-56-28-10-8-55-20-13-50-2-14-44-17-59-1-26-30-24-21-6-47-53*22-19-66-29-3-0-23-50-43-61-14-44-60-17-20-52-64-58-34-25-4-7-40-46-53-47-6-35-51*32-39-65-37-67-27-25-12-41-45-36-38-66-3-69-23-50-43-17-9-68-11-31-1-26-30-63-24*39-48-29-69-23-50-43-20-55-10-16-26-62-42*67-5-18-69-0-2-50-43-20-10-28-56-6-47-53-4-12-41*1-16-9-59-10-55-52-64-51-35-34-41-27-67-5-37-32-18-19-66*48-3-69-38-36-41-51-8-26-49-15*4-25-57-34-41-12-27-67-37-5-54-19-22-13-43-61-60-44-17-20-55-10-28-56-51-35-58-33-50-23*31-9-59-11-1-16-55-52-64-58-45-36-54-18-32-39-48-29-23-2-0-3-69-19-38-22-33-20-13-43*17-50-0-69-3-66-19-36-45-34-35-6-63-24-21-30-62-15-11-9-68-59-10-20-43-13-22-33-58*1-68-9-31-11-49-15-42-62-24-21-63-6-35-34-45-36-38-66-48-39-18-54-19-69-29-3-23-0*13-43-33-22-38-19-36-41-12-4-53-46-40-47-6-56-28-8-26-1-9-68-11-49-42-30-24*51-34-57-58-33-22-38-19-29-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41*55-20-52-8-28-10-17-61-14-2-50-13-22-45-41-12-4-40-46*,23.232461309230235,1442.0,195,0.0
