,R_x,f_1,f_2,Generation,Rank
0,0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*0-1-4-3-5-7-9-10-12-13*8-14-6-9-10-11*0-1-3-11-10-12-13-9*2-1-4-3-5-7-14-6*,10.194068343004512,197.0,149,0.0
1,0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*0-1-4-3-5-7-9-10-12*8-14-6-9-10-11*0-1-3-11-10-12-13-9*2-1-4-3-5-7-14-6*,10.19471308833011,195.0,119,0.0
2,0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*0-1-4-3-5-7-9-10*8-14-6-9-10-11*0-1-3-11-10-12-13-9*2-1-4-3-5-7-14-6*,10.199226305609283,190.0,115,0.0
3,0-1-2-5-14-6*0-1-2-5-7-9-10-12*0-1-4-3-5-7-9-10*8-14-6-9-10-11*0-1-3-11-10-12-13-9*2-1-4-3-5-7-14-6*,10.202450032237266,188.0,79,0.0
4,0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*0-1-4-3-5-7-9*8-14-6-9-10-11*0-1-3-11-10-12-13-9*2-1-4-3-5-7-14-6*,10.217279174725984,185.0,136,0.0
5,0-1-2-5-14-6*0-1-2-5-7-9-10-12*0-1-4-3-5-7-9*8-14-6-9-10-11*0-1-3-11-10-12-13-9*2-1-4-3-5-7-14-6*,10.220502901353964,183.0,110,0.0
0,4-3-1-0*0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*8-14-6-9-10-11-3-4*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12-10-11*,10.221147646679562,179.0,165,0.0
2,0-1-2-5-7-9-10-12-13*4-3-5-7-14-6*2-1-4-3-5-7-9-10*8-14-6-9-10-11*0-1-3-11-10-12-13-9*0-1-2-5-14-6*,10.250805931656997,176.0,101,0.0
0,0-1-3-11-10-12-13-9*8-14-6-9-10-11*4-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-2-5-14-6*2-1-4-3-5-7-9-10*,10.254029658284978,174.0,165,0.0
3,4-3-5-7-9-10-12-13*0-1-2-5-14-6*0-1-3-11-10-12*0-1-2-5-7-9-13-12*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.264990328820115,171.0,173,0.0
1,4-3-1-0*0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*8-14-6-9-10-11-3-4*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12*,10.26627981947131,164.0,159,0.0
2,4-3-1-0*0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*8-14-6-9-10-11-3-1*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12*,10.27337201805287,163.0,180,0.0
3,4-3-1-0*0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-4*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12*,10.277240490006449,162.0,146,0.0
4,4-3-1-0*0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-1*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12*,10.284332688588009,161.0,161,0.0
5,4-3-1-0*0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12*,10.297227595099937,158.0,120,0.0
9,4-1-2-5-7-14-6*0-1-3-4*4-3-11-10-9-6-14-8*0-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*,10.324306898774983,157.0,190,0.0
5,1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*0-1-3-4*12-13-9-7-5-3-4*4-1-2-5-7-14-6*0-1-2-5-14-6*,10.331399097356543,156.0,191,0.0
