,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:06:47.758442,0.8108630925728704
1,Run_10,0 days 00:06:16.932303,0.8162895282274005
2,Run_2,0 days 00:05:57.770196,0.8141762588359056
3,Run_3,0 days 00:06:05.325158,0.8121284473641363
4,Run_4,0 days 00:06:50.639386,0.8183491047626844
5,Run_5,0 days 00:06:43.945184,0.8193861157893847
6,Run_6,0 days 00:07:06.234920,0.8163012146033279
7,Run_7,0 days 00:06:26.922488,0.8185755904848572
8,Run_8,0 days 00:06:40.545760,0.8198120872379129
9,Run_9,0 days 00:06:06.919856,0.8162880991592758
10,Average,0 days 00:06:30.299369300,0.8162169539037757
