,R_x,f_1,f_2,Generation,Rank
0,24-62-15-11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*51-34-57-58-33-22-38-19-29-3-66-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-68-59*59-10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*28-56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*2-0-69-19-36-41-25-4-40-46-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*53-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*43-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-32*,23.057684420378266,1731.0,199,0.0
1,24-62-15-11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*51-34-57-58-33-22-38-19-29-3-66-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-68-59*59-10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*28-56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*2-0-69-19-36-41-25-4-40-46-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*53-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*43-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-32*,23.057762295124522,1729.0,200,0.0
2,24-62-15-11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*51-34-57-58-33-22-38-19-29-3-66-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-68-59*59-10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*28-56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*0-69-19-36-41-25-4-40-46-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*53-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*43-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-32*,23.062595721042275,1727.0,188,0.0
3,24-62-15-11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*51-34-57-58-33-22-38-19-29-3-66-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-59*59-10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*28-56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*0-69-19-36-41-25-4-40-46-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*53-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*43-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-32*,23.063691159139644,1726.0,190,0.0
4,24-62-15-11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*51-34-57-58-33-22-38-19-29-3-66-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-68-59*10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*28-56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*0-69-19-36-41-25-4-40-46-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*53-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*43-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-32*,23.067569321503296,1722.0,197,0.0
5,24-62-15-11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*51-34-57-58-33-22-38-19-29-3-66-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-59*10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*28-56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*0-69-19-36-41-25-4-40-46-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*53-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*43-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-32*,23.068664759600658,1721.0,199,0.0
6,24-62-15-11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*51-34-57-58-33-22-38-19-29-3-66-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-68-59*10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*28-56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-8-28*65-5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*0-69-19-36-41-25-4-40-46-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*53-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*43-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-32*,23.075735786560887,1717.0,200,0.0
7,11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*55-10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-9-68-59*59-10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*56-8-26-30-21-24-63-6-35-34-45-36-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-44-14-60-17-20-52-64-51-57-25-4-7-40-46*48-69-19-38-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*7-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49-26*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-37*,23.082168240601817,1700.0,197,0.0
8,11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51*34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*55-10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-9-68-59*59-10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-57*56-8-26-30-21-24-63-6-35-34-45-36-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-22-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*65-5-18-38-36-22-13-43-61-44-14-60-17-20-52-64-51-57-25-4-7-40-46*48-69-19-38-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*7-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49-26*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-16-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65-37*,23.09070331279171,1699.0,199,0.0
9,11-59-9-1-26-16-55-17-60-44-61-43-33-58-41-12-4-7-40-46-53-47-6-56-28-8-51-34*51-34-57-58-33-22-38-19-29-3-69-0-50-43-20-55-10-8-56-6-47-7-46-40-12-27-25-41-36*52-55-10-17-20-43-13-22-38-19-66-48-39-18-54-36-45-58-51-8-26-62-42-15-49-1-31-11-9-68*59-10-52-8-28-56-51-35-6-47-53-7-46-40-4-12-41-45-22-13-50-2-14-44-17-43-33-58-34-57*56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-29-48-69-23-50-17-43-13-33-58-51-41-27-67*58-34-45-41-57-35-6-63-21-30-42-15-11-9-68-59-17-50-23-69-3-48-39-32-18-38-19-66-29*31-9-17-61-60-44-14-2-0-3-69-23-50-43-20-10-16-26-49-15-30-63-6-56-51-64-52-55-8-28*5-18-38-36-22-13-43-61-14-44-60-17-20-52-64-51-57-25-4-7-40-46*48-69-19-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-55-52-64-58-33-13-43-17-20*7-4-25-57-35-64-58-51-34-41-27-67-37-5-54-19-22-33-20-17-59-10-28-8-52-55-16-9-49-26*23-3-48-39-65-37-32-54-36-45-34-35-51-8-26-49-11*55-20-10-28-56-51-8-26-1-59-17-61-60-44-14-2-0-23-69-38-36-45-41-12-4-53-7-40*12-41-35-58-33-50-13-20-55-52-10-59-68-9-11-1-26-8-56-6-47-7-40-46*68-9-16-1-31-11-15-30-63-21-62-24-42-49-26-8-52-64-58-45-36-54-18-65-37-5-67-27-25-4*47-53-46-40-7-4-12-41-34-51-56-8-26-1-9-68-59-10-55-20-17-43-50-2-0-3-66-19-65*,23.092644989798412,1698.0,198,0.0
