,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:06:26.323366,0.8533728990713265
1,Run_10,0 days 00:05:06.540725,0.8560399822194458
2,Run_2,0 days 00:06:32.870219,0.8564580655237457
3,Run_3,0 days 00:05:42.484813,0.8548674267453179
4,Run_4,0 days 00:05:45.992835,0.8559799127791727
5,Run_5,0 days 00:11:33.787998,0.8511703529279848
6,Run_6,0 days 00:05:05.114775,0.8498744548698296
7,Run_7,0 days 00:06:56.493718,0.852767399113375
8,Run_8,0 days 00:12:47.319128,0.8526744917124196
9,Run_9,0 days 00:10:08.251760,0.8544245147390385
10,Average,0 days 00:07:36.517933700,0.8537629499701656
