,R_x,f_1,f_2,Generation,Rank
0,67-27-12-41-45-22-13-50-2-14-60-61-17-9-1-26-8-55-52-64-51-34-25-4-7-46-40-47-6*2-50-43-20-55-16-26-30-24-63-6-35-41-12-25*31-9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-65-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-18-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-32-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-10-20-55-8-56-28*47-53-7-46-40-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*9-68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-30-21-24-42*59-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66-48*35-6-47-53-4-25-41-45-22-33-13-50-23-69-29-3-38*69-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-24-30-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32-39*16-55-52-64-35-57-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63*6-63-24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57-25*62-42-15-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28-10-59-9*,22.99639180342337,1689.0,200,0.0
1,67-27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*2-50-43-20-55-16-26-30-24-63-6-35-41-12-25*31-9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-65-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-18-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-32-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-10-20-55-8-56-28*47-53-7-46-40-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*9-68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-30-21-24-42*59-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66-48*35-6-47-53-4-25-41-45-22-33-13-50-23-69-29-3-38*69-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-24-30-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32-39*16-55-52-64-35-57-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63*6-63-24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57-25*62-42-15-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28-10-59-9*,23.024146362989768,1688.0,198,0.0
2,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12-25*9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-65-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-18-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-32-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-10-20-55-8-56*47-53-7-46-40-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*9-68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-30-21-24-42*59-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66-48*6-47-53-4-25-41-45-22-13-50-23-69-29-3-38*69-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-62-24-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32-39*16-55-52-64-35-57-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63-24*6-63-24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57-25-4*42-15-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28-10*,23.027873967510647,1679.0,200,0.0
3,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12-25*9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-65-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-18-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-32-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-10-20-55-8-56*47-53-7-46-40-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*9-68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-30-21-24-42*59-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66-48*6-47-53-4-25-41-45-22-13-50-23-69-29-3-38*69-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-62-24-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32-39*16-55-52-64-35-57-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63-24*6-63-24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57-25*42-15-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28-10*,23.03388589792178,1674.0,197,0.0
4,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12-25*9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-65-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-18-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-32-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-10-20-55-8-56*47-53-7-40-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*9-68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-30-21-24-42*59-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66*6-47-53-4-25-41-45-22-13-50-23-69-29-3-38*69-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-62-24-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32-39*16-55-52-64-35-57-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63-24*6-63-24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57-25*42-15-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28-10-59*,23.035199385308673,1671.0,198,0.0
5,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12-25*16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-65-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-18-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-32-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-10-20-55-8-56*47-53-7-46-40-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*9-68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-30-21-24-42*59-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66-48*6-47-53-4-25-41-45-22-13-50-23-69-29-3-38*69-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-62-24-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32-39*16-55-52-64-35-57-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63-24*6-63-24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57-25*42-15-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28-10*,23.036637472289573,1668.0,198,0.0
6,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12-25*9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-65-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-18-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-32-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-10-20-55-8-56*47-53-7-46-40-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*9-68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-30-21-24-42*59-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66-48*6-47-53-4-25-41-45-22-13-50-23-69-29-3-38*69-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-24-63-21-6-56-28-10-55-20-13*62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32-39*16-55-52-64-35-57-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63*6-63-24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57-25*42-15-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28-10-59*,23.04823042618253,1664.0,198,0.0
7,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12*31-9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-32-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-54-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-18-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-43-20-55-8-56-28*47-53-7-46-40-4-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-21-24-42*55-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66*58-35-6-47-53-4-25-41-45-22-13-50-23-69-3*69-29-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-24-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32*16-55-52-64-35-57-51-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63-30-62*24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-19-36-41-34-57*42-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28*,23.054180056796646,1648.0,199,0.0
8,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*17-60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12*31-9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-32-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-54-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-18-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-43-20-55-8-56-28*47-53-7-46-40-4-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-21-24*10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66*58-35-6-47-53-4-25-41-45-22-13-50-23-69-3-38*69-29-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-24-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32*16-55-52-64-35-57-51-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63-30*24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-22-36-41-34-57*42-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28*,23.057918044617036,1646.0,198,0.0
9,27-25-34-51-64-52-55-8-26-1-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40-47-6*60-14-2-50-43-20-55-16-26-30-24-63-6-35-41-12*31-9-16-1-49-11-15-30-21-63-24-42-62-26-8-51-35-34-41-27-67-18-39-32-54-38-19-22-33*47-53-40-46-7-4-12-25-27-67-37-65-54-19-22-33-20-17-59-68-9-11-31-1-26-49*33-22-38-54-18-39-48-29-69-3-66-19-36-45-34-35-6-63-21-30-26-1-59-17-43-20-55-8-56-28*47-53-7-46-40-4-12-41-36-22-13-50-2-14-44-17-43-33-58-34-57-51-56-28-8-52-10-59-68-9*68-1-16-10-17-44-14-2-0-23-3-48-39-18-54-36-45-58-64-52-8-26-49-15-62-21-24-42*55-10-8-56-6-47-53-46-40-12-41-58-64-52-20-17-61-60-14-2-0-69-38-18-37-32-54-19-66*58-35-6-47-53-4-25-41-45-22-13-50-23-69-3*69-29-19-38-66-48-39-65-37-5-54-36-45-58-51-8-26-49-15-42-24-63-21-6-56-28-10-55-20-13*30-62-21-24-42-15-49-26-16-10-20-43-50-23-69-3-48-29-66-19-65-37-5-54-18-32*16-55-52-64-35-57-51-58-34-45-22-13-50-0-23-69-38-36-41-25-4-7-53-47-6-63-30*24-42-15-62-49-11-59-17-43-50-23-29-48-39-32-54-38-19-36-41-34-57*42-49-1-59-17-44-14-2-50-33-58-34-25-4-40-46-53-47-6-35-57-51-41-45-22-38*66-3-0-69-23-50-2-14-44-60-61-43-13-22-19-54-5-67-27-41-34-45-58-35-51-8-28*,23.06795350358484,1643.0,197,0.0
