,Run_number,Duration,HV Obtained
0,Run_1,0 days 05:46:14.078280,0.6007844705243286
1,Run_10,0 days 07:22:15.287338,0.5863705237423593
2,Run_2,0 days 05:49:10.536772,0.6043770433624536
3,Run_3,0 days 05:32:43.550707,0.5967566089124273
4,Run_4,0 days 05:39:36.095764,0.5973636184651167
5,Run_5,0 days 05:47:37.428639,0.5859529283560485
6,Run_6,0 days 06:11:15.632979,0.5824322834332956
7,Run_7,0 days 07:31:21.614317,0.5963320954264446
8,Run_8,0 days 07:54:53.476425,0.5787982813892739
9,Run_9,0 days 08:05:55.026248,0.5872580524315655
10,Average,0 days 06:34:06.272746900,0.5916425906043313
